,Rank,DJ Name,Rank Change,Interview URL
0,1,David Guetta,Non Mover,https://djmag.com/top100djs//top-100-djs/poll-2021-david-guetta
1,2,Martin Garrix,Up 1,https://djmag.com/top100djs//top-100-djs/poll-2021-martin-garrix
2,3,Armin Van Buuren,Up 1,https://djmag.com/top100djs//top-100-djs/poll-2021-armin-van-buuren
3,4,Alok,Up 1,https://djmag.com/top100djs//top-100-djs/poll-2021-alok
4,5,Dimitri Vegas & Like Mike,Down 3,https://djmag.com/top100djs//top-100-djs/poll-2021-dimitri-vegas-mike
5,6,Afrojack,Up 1,https://djmag.com/top100djs//top-100-djs/poll-2021-afrojack
6,7,Don Diablo,Down 1,https://djmag.com/top100djs//top-100-djs/poll-2021-don-diablo
7,8,Oliver Heldens,Stay 8,https://djmag.com/top100djs//top-100-djs/poll-2021-oliver-heldens
8,9,Timmy Trumpet,Up 1,https://djmag.com/top100djs//top-100-djs/poll-2021-timmy-trumpet
9,10,Steve Aoki,Down 1,https://djmag.com/top100djs//top-100-djs/poll-2021-steve-aoki
10,11,KSHMR,Up 1,https://djmag.com/top100djs//top-100-djs/poll-2021-kshmr
11,12,R3hab,Up 1,https://djmag.com/top100djs//top-100-djs/poll-2021-r3hab
12,13,Marshmello,Down 2,https://djmag.com/top100djs//top-100-djs/poll-2021-marshmello
13,14,W&W,Non Mover,https://djmag.com/top100djs//top-100-djs/poll-2021-ww
14,15,Tiësto,Up 1,https://djmag.com/top100djs//top-100-djs/poll-2021-ti-sto
15,16,Calvin Harris,Up 2,https://djmag.com/top100djs//top-100-djs/poll-2021-calvin-harris
16,17,Vintage Culture,Up 13,https://djmag.com/top100djs//top-100-djs/poll-2021-vintage-culture
17,18,Nervo,Up 2,https://djmag.com/top100djs//top-100-djs/poll-2021-nervo
18,19,Fedde Le Grand,Up 4,https://djmag.com/top100djs//top-100-djs/poll-2021-fedde-le-grand
19,20,Vini Vici,Up 4,https://djmag.com/top100djs//top-100-djs/poll-2021-vini-vici
20,21,Above & Beyond,Down 2,https://djmag.com/top100djs//top-100-djs/poll-2021-above-beyond
21,22,Alan Walker,Up 4,https://djmag.com/top100djs//top-100-djs/poll-2021-alan-walker
22,23,Charlotte de Witte,Up 9,https://djmag.com/top100djs//top-100-djs/poll-2021-charlotte-de-witte
23,24,Skrillex,Down 9,https://djmag.com/top100djs//top-100-djs/poll-2021-skrillex
24,25,Lost Frequencies,Down 4,https://djmag.com/top100djs//top-100-djs/poll-2021-lost-frequencies
25,26,Nicky Romero,Up 5,https://djmag.com/top100djs//top-100-djs/poll-2021-nicky-romero
26,27,Carl Cox,Up 7,https://djmag.com/top100djs//top-100-djs/poll-2021-carl-cox
27,28,Bassjackers,Up 1,https://djmag.com/top100djs//top-100-djs/poll-2021-bassjackers
28,29,The Chainsmokers,Down 2,https://djmag.com/top100djs//top-100-djs/poll-2021-chainsmokers
29,30,Quintino,Up 3,https://djmag.com/top100djs//top-100-djs/poll-2021-quintino
30,31,Eric Prydz,Down 9,https://djmag.com/top100djs//top-100-djs/poll-2021-eric-prydz
31,32,Claptone,Up 9,https://djmag.com/top100djs//top-100-djs/poll-2021-claptone
32,33,DJ Snake,Down 8,https://djmag.com/top100djs//top-100-djs/poll-2021-dj-snake
33,34,Danny Avila,Up 4,https://djmag.com/top100djs//top-100-djs/poll-2021-danny-avila
34,35,ATB,Up 21,https://djmag.com/top100djs//top-100-djs/poll-2021-atb
35,36,Tujamo,Up 4,https://djmag.com/top100djs//top-100-djs/poll-2021-tujamo
36,37,Carnage/GORDO,Re-entry,https://djmag.com/top100djs//top-100-djs/poll-2021-carnagegordo
37,38,Peggy Gou,Up 31,https://djmag.com/top100djs//top-100-djs/poll-2021-peggy-gou
38,39,MORTEN,New Entry,https://djmag.com/top100djs//top-100-djs/poll-2021-morten
39,40,Mariana Bo,Up 4,https://djmag.com/top100djs//top-100-djs/poll-2021-mariana-bo
40,41,Paul van Dyk,Up 9,https://djmag.com/top100djs//top-100-djs/poll-2021-paul-van-dyk
41,42,Boris Brejcha,Up 18,https://djmag.com/top100djs//top-100-djs/poll-2021-boris-brejcha
42,43,Ummet Ozcan,Up 22,https://djmag.com/top100djs//top-100-djs/poll-2021-ummet-ozcan
43,44,Amelie Lens,Up 15,https://djmag.com/top100djs//top-100-djs/poll-2021-amelie-lens
44,45,REZZ,Up 12,https://djmag.com/top100djs//top-100-djs/poll-2021-rezz
45,46,Angerfist,Down 10,https://djmag.com/top100djs//top-100-djs/poll-2021-angerfist
46,47,Diego Miranda,Up 4,https://djmag.com/top100djs//top-100-djs/poll-2021-diego-miranda
47,48,Kygo,Down 20,https://djmag.com/top100djs//top-100-djs/poll-2021-kygo
48,49,Alison Wonderland,Down 2,https://djmag.com/top100djs//top-100-djs/poll-2021-alison-wonderland
49,50,Jamie Jones,Up 18,https://djmag.com/top100djs//top-100-djs/poll-2021-jamie-jones
50,51,VINAI,Down 12,https://djmag.com/top100djs//top-100-djs/poll-2021-vinai
51,52,Deadmau5,Up 12,https://djmag.com/top100djs//top-100-djs/poll-2021-deadmau5
52,53,Miss K8,Up 1,https://djmag.com/top100djs//top-100-djs/poll-2021-miss-k8
53,54,Nina Kraviz,Up 12,https://djmag.com/top100djs//top-100-djs/poll-2021-nina-kraviz
54,55,Beauz,New Entry,https://djmag.com/top100djs//top-100-djs/poll-2021-beauz
55,56,Will Sparks,Up 2,https://djmag.com/top100djs//top-100-djs/poll-2021-will-sparks
56,57,Ferry Corsten,Down 4,https://djmag.com/top100djs//top-100-djs/poll-2021-ferry-corsten
57,58,Adam Beyer,Down 10,https://djmag.com/top100djs//top-100-djs/poll-2021-adam-beyer
58,59,Nora En Pure,Up 14,https://djmag.com/top100djs//top-100-djs/poll-2021-nora-en-pure
59,60,Carta,Up 1,https://djmag.com/top100djs//top-100-djs/poll-2021-carta
60,61,Blasterjaxx,Up 9,https://djmag.com/top100djs//top-100-djs/poll-2021-blasterjaxx
61,62,Breathe Carolina,Up 1,https://djmag.com/top100djs//top-100-djs/poll-2021-breathe-carolina
62,63,Alesso,Down 18,https://djmag.com/top100djs//top-100-djs/poll-2021-alesso
63,64,Zedd,Down 29,https://djmag.com/top100djs//top-100-djs/poll-2021-zedd
64,65,Pink Panda,Up 17,https://djmag.com/top100djs//top-100-djs/poll-2021-pink-panda
65,66,Julian Jordan,Up 5,https://djmag.com/top100djs//top-100-djs/poll-2021-julian-jordan
66,67,MATTN,Down 25,https://djmag.com/top100djs//top-100-djs/poll-2021-mattn
67,68,Black Coffee,Up 23,https://djmag.com/top100djs//top-100-djs/poll-2021-black-coffee
68,69,Panta Q,New Entry,https://djmag.com/top100djs//top-100-djs/poll-2021-panta-q
69,70,Mike Williams,Up 20,https://djmag.com/top100djs//top-100-djs/poll-2021-mike-williams
70,71,Deniz Koyu,Up 1,https://djmag.com/top100djs//top-100-djs/poll-2021-deniz-koyu
71,72,Naeleck,New Entry,https://djmag.com/top100djs//top-100-djs/poll-2021-naeleck
72,73,Brennan Heart,Up 5,https://djmag.com/top100djs//top-100-djs/poll-2021-brennan-heart
73,74,Kura,Non Mover,https://djmag.com/top100djs//top-100-djs/poll-2021-kura
74,75,Tom & Collins,Up 2,https://djmag.com/top100djs//top-100-djs/poll-2021-tom-collins
75,76,Mr. Pig,Up 3,https://djmag.com/top100djs//top-100-djs/poll-2021-mr-pig
76,77,FISHER,Down 1,https://djmag.com/top100djs//top-100-djs/poll-2021-fisher
77,78,Virtual Riot,New Entry,https://djmag.com/top100djs//top-100-djs/poll-2021-virtual-riot
78,79,D.O.D,Up 4,https://djmag.com/top100djs//top-100-djs/poll-2021-dod
79,80,Plastik Funk,Up 5,https://djmag.com/top100djs//top-100-djs/poll-2021-plastik-funk
80,81,Green Velvet,Up 5,https://djmag.com/top100djs//top-100-djs/poll-2021-green-velvet
81,82,Burak Yeter,Up 7,https://djmag.com/top100djs//top-100-djs/poll-2021-burak-yeter
82,83,KAAZE,New Entry,https://djmag.com/top100djs//top-100-djs/poll-2021-kaaze
83,84,Aryue,Up 4,https://djmag.com/top100djs//top-100-djs/poll-2021-aryue
84,85,Cat Dealers,Down 33,https://djmag.com/top100djs//top-100-djs/poll-2021-cat-dealers
85,86,Rave Republic,Down 5,https://djmag.com/top100djs//top-100-djs/poll-2021-rave-republic
86,87,Sunnery James & Ryan Marciano,Non Mover,https://djmag.com/top100djs//top-100-djs/poll-2021-sunnery-james-ryan-marciano
87,88,MaRLo,Re-entry,https://djmag.com/top100djs//top-100-djs/poll-2021-marlo
88,89,Tungevaag,Up 3,https://djmag.com/top100djs//top-100-djs/poll-2021-tungevaag
89,90,Giftback,New Entry,https://djmag.com/top100djs//top-100-djs/poll-2021-giftback
90,91,Christina Novelli,New Entry,https://djmag.com/top100djs//top-100-djs/poll-2021-christina-novelli
91,92,22Bullets,Up 6,https://djmag.com/top100djs//top-100-djs/poll-2021-22bullets
92,93,KAKA,New Entry,https://djmag.com/top100djs//top-100-djs/poll-2021-kaka
93,94,Blastoyz,Up 3,https://djmag.com/top100djs//top-100-djs/poll-2021-blastoyz
94,95,Florian Picasso,Down 20,https://djmag.com/top100djs//top-100-djs/poll-2021-florian-picasso
95,96,Luminn,New Entry,https://djmag.com/top100djs//top-100-djs/poll-2021-luminn
96,97,Alexso,New Entry,https://djmag.com/top100djs//top-100-djs/poll-2021-alexso
97,98,Daddy’s Groove,Re-entry,https://djmag.com/top100djs//top-100-djs/poll-2021-daddy-s-groove
98,99,Dexter King,New Entry,https://djmag.com/top100djs//top-100-djs/poll-2021-dexter-king
99,100,VIZE,New Entry,https://djmag.com/top100djs//top-100-djs/poll-2021-vize
